content_type,jan_clicks,jan_impressions,jan_ctr,jan_position,feb_clicks,feb_impressions,feb_ctr,feb_position,clicks_diff,impressions_diff,ctr_diff,position_diff,clicks_pct_change,impressions_pct_change,position_pct_change
Not_reviewed_brokers,1974.0,79113.0,2.5,17.55,9578.0,387552.0,2.47,17.51,7604.0,308439.0,-0.03,0.04,385.21,389.87,0.23
Other,381.0,61817.0,0.62,26.56,348.0,58074.0,0.6,24.96,-33.0,-3743.0,-0.02,1.6,-8.66,-6.05,6.02
Homepage,4123.0,111882.0,3.69,44.13,3646.0,129306.0,2.82,43.52,-477.0,17424.0,-0.87,0.61,-11.57,15.57,1.38
Company_name_options_megascaled,3283.0,162878.0,2.02,21.39,2536.0,147827.0,1.72,23.13,-747.0,-15051.0,-0.3,-1.74,-22.75,-9.24,-8.13
0,2711.0,1532445.0,0.18,6.96,1882.0,1323781.0,0.14,6.99,-829.0,-208664.0,-0.04,-0.03,-30.58,-13.62,-0.43
Education,9596.0,889895.0,1.08,44.02,7839.0,893161.0,0.88,45.45,-1757.0,3266.0,-0.2,-1.43,-18.31,0.37,-3.25
Tools,29993.0,598430.0,5.01,10.6,23170.0,884231.0,2.62,7.7,-6823.0,285801.0,-2.39,2.9,-22.75,47.76,27.36
Country_page,24297.0,670079.0,3.63,15.98,16786.0,586121.0,2.86,18.1,-7511.0,-83958.0,-0.77,-2.12,-30.91,-12.53,-13.27
How_to_buy_shares_and_ETFs_megascaled,35416.0,1862281.0,1.9,23.35,26512.0,1500580.0,1.77,22.77,-8904.0,-361701.0,-0.13,0.58,-25.14,-19.42,2.48
Safety_megascaled,249282.0,6886540.0,3.62,12.93,221430.0,6930119.0,3.2,13.16,-27852.0,43579.0,-0.42,-0.23,-11.17,0.63,-1.78
Best,160623.0,4478621.0,3.59,19.34,118855.0,4232918.0,2.81,21.73,-41768.0,-245703.0,-0.78,-2.39,-26.0,-5.49,-12.36
Broker_review,257162.0,10595079.0,2.43,12.63,202575.0,9269135.0,2.19,13.02,-54587.0,-1325944.0,-0.24,-0.39,-21.23,-12.51,-3.09
