content_type,total_clicks,total_impressions,unique_urls,ctr_percentage,total_sum_position,avg_position
Broker_review,"89,737","5,758,514","9,129",1.56,"68,149,226",12.83
Safety_megascaled,"73,584","3,608,571","19,199",2.04,"48,141,704",14.34
Best,"60,589","2,408,952","9,731",2.52,"53,273,517",23.11
Tools,"17,994","547,852","1,759",3.28,"4,328,136",8.9
Country_page,"13,855","518,409",219,2.67,"8,957,728",18.28
How_to_buy_shares_and_ETFs_megascaled,"6,115","576,594","15,108",1.06,"16,034,945",28.81
Homepage,"3,281","124,296",1,2.64,"5,362,645",44.14
Education,"2,128","670,820",364,0.32,"34,185,842",51.96
Not_reviewed_brokers,"1,950","79,194","10,930",2.46,"1,171,784",15.8
Company_name_options_megascaled,861,"65,555","2,452",1.31,"1,810,276",28.61
Other,274,"47,260",84,0.58,"1,043,536",23.08
